NomAgente,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,VlrCustoTotal,Score
Light s.e.s.a.,0.0,0.0,586400.0,0.0
Companhia energética do rio grande do norte,0.0,0.0,0.0,0.0
4950,78684.09,14557.0,,
Aes eletropaulo,139877.89,30061.230000000003,,
Aes sul,928.29,373.44000000000005,,
Aes sul distribuidora gaucha de energia s/a,66449.02,14095.029999999999,,
Aes sul distribuidora gaucha de energia s.a.,5071.38,1671.94,,
Aes sul distribuidora gaúcha de energia s/a,121.28,60.59,,
Ampla,27986.27,8332.58,,
Ampla ampla energia e serviços s/a,746.32,155.84,,
Ampla - energia e servicos s/a,1147.58,805.25,,
Ampla - energia e serviã§os s/a,1386.23,448.21,,
Ampla - energia e serviços s/a,206883.15,79973.35,,
Ampla energia e serviços s/a,5436.64,2525.6,,
Bandeirante,22718.73,15176.429999999998,,
Boa vista energia,8236.33,1997.8,,
Bandeirante energia s.a,318.94,12.65,,
Caiua,513.49,118.55,,
Caiuá distribuição de energia s/a,4902.8,2802.96,,
Ceee-d,10190.300000000001,3291.5599999999995,,
Celesc,30174.02,13352.56,,
Celesc distribuição s.a.,31728.45,14857.57,,
Celg-d,905.1999999999999,736.29,,
Celpa,29876.52,6827.29,,
Celpe,18718.38,4959.98,,
Cemar - companhia energética do maranhão,73422.44,16670.629999999997,,
Cemig-d,22769.21,2868.8999999999996,,
Centrais eletricas de rondonia,1943.86,184.0,,
Centrais eletricas do para s.a,2107.58,1289.59,,
Centrais elétricas de carazinho s/a,803.69,426.93,,
Centrais elétricas de rondonia s.a,9501.73,2049.54,,
Centrais elétricas de rondônia s.a,6389.370000000001,1902.88,,
Centrais elétricas do pará,8947.04,3264.84,,
Centrais elétricas matogrossenses s.a.,1401.49,297.67,,
Ceres,58.65,20.37,,
Cergal,212.34,2505.28,,
Cergapa,17.28,5.16,,
Cersul - cooperativa de distribuição de energia,321.0,151.0,,
Cflo,189.18,29.54,,
Chesp,1529.08,353.0,,
Cia de energia elétrica do estado do tocantins,3913.74,1872.8899999999999,,
Cnee,172.16,39.75,,
Coelba,79235.05,26263.47,,
Coelce,9545.15,2371.75,,
Coelce - companhia energetica do ceara,80.8,6.7,,
Coelce - companhia energética do ceará,52754.200000000004,13806.15,,
Coelce companhia energetica do ceara,99327.32,18593.9,,
Companhia de eletricidade do estado da bahia,89256.31,25829.510000000002,,
Companhia energetica de pernambuco,72591.38,33764.65,,
Companhia energetica do ceara - coelce,33706.72,11091.21,,
Companhia energética de alagoas,400.93,90.72,,
Companhia energética de pernambuco,2525.89,641.38,,
Companhia energética de roraima - cerr,928.24,193.19,,
Companhia energética do maranhão,72623.59,16286.34,,
Companhia energética do piaui - cepisa,217.53,13.77,,
Companhia nacional de energia elétrica,139.78,535.75,,
Coop. de distr. e geração de energia das missões,400.26,196.62,,
Cooperativa  energética cocal - coopercocal,222.25,63.7,,
Cooperativa  fumacense de eletricidade - cermoful,249.52,92.64,,
Cooperativa  pioneira de eletrificação - coopera,364.84000000000003,176.34,,
Cooperativa  de distribuição de energia elétrica de anitapolis  - ceral anitapolis,12.87,4.37,,
Cooperativa  de eletricidade grao para - cergapa,16.23,5.17,,
Cooperativa  de eletricidade jacinto machado  - cejama,47.83,16.14,,
Cooperativa  de eletricidade jacinto machado - cejama,67.38,27.16,,
Cooperativa  de eletricidade praia grande  - ceprag,260.12,99.47999999999999,,
Cooperativa  de eletricidade de gravatal  - cergral,216.79999999999998,96.6,,
Cooperativa  de eletrificação  braço do norte  - cerbranorte,631.54,238.53,,
Cooperativa  de eletrificação  lauro muller  - coopermila,64.0,26.81,,
